epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.20613,1.86021,4.5015,1.45655,0.00677,0.71034,0.15544,0.08078,1.10095,4.18538,0.93685,0.000325397,0.000325397,0.000325397
2,15.3529,1.24777,2.67538,1.07063,1,0.05432,0.50693,0.35809,0.90509,3.31707,0.92088,0.000652209,0.000652209,0.000652209
3,21.0994,1.09743,1.8205,1.02315,0.88425,0.61999,0.85924,0.55778,1.20231,1.96908,1.04742,0.000972421,0.000972421,0.000972421
4,27.1736,1.02304,1.45534,1.01966,0.88003,0.8783,0.94244,0.75561,0.77859,0.95715,0.89568,0.0009703,0.0009703,0.0009703
5,33.0181,0.99197,1.27798,1.01449,0.93902,0.90694,0.979,0.79285,0.72651,0.70599,0.87948,0.0009604,0.0009604,0.0009604
6,39.4196,0.94724,1.13799,1.00355,0.89948,0.90089,0.98027,0.795,0.73492,0.73566,0.90341,0.0009505,0.0009505,0.0009505
7,47.1926,0.87246,1.01446,0.9506,0.93343,0.90147,0.96878,0.71215,0.97479,0.78227,0.95576,0.0009406,0.0009406,0.0009406
8,55.1065,0.86094,0.93049,0.96122,0.93744,0.96708,0.98258,0.83313,0.63319,0.58632,0.8561,0.0009307,0.0009307,0.0009307
9,61.4649,0.84251,0.8866,0.9617,0.95339,0.90519,0.98763,0.79658,0.71456,0.57999,0.87556,0.0009208,0.0009208,0.0009208
10,69.2122,0.87189,0.86224,0.95706,0.9282,0.90904,0.97401,0.78539,0.76756,0.64839,0.8859,0.0009109,0.0009109,0.0009109
11,77.237,0.82476,0.81163,0.96651,0.9323,0.98855,0.98862,0.84695,0.60146,0.50852,0.84115,0.000901,0.000901,0.000901
12,85.3971,0.77806,0.76336,0.94866,0.90798,0.94903,0.98197,0.82422,0.65058,0.57896,0.8532,0.0008911,0.0008911,0.0008911
13,93.5674,0.77405,0.73569,0.92854,0.95024,0.97918,0.98681,0.86426,0.56727,0.50267,0.83312,0.0008812,0.0008812,0.0008812
14,99.8568,0.78802,0.73208,0.94031,0.973,0.9457,0.99153,0.84364,0.60944,0.5471,0.85058,0.0008713,0.0008713,0.0008713
15,106.064,0.72151,0.67629,0.91697,0.92831,0.95335,0.98554,0.8528,0.56814,0.51875,0.8287,0.0008614,0.0008614,0.0008614
16,112.092,0.73768,0.66148,0.92418,0.96056,0.96244,0.99145,0.88498,0.53092,0.45667,0.82255,0.0008515,0.0008515,0.0008515
17,118.165,0.75697,0.64065,0.92406,0.97674,0.95256,0.98992,0.82271,0.67869,0.47275,0.85904,0.0008416,0.0008416,0.0008416
18,124.183,0.73017,0.6148,0.91989,0.97257,0.9887,0.99063,0.80479,0.72364,0.49669,0.85978,0.0008317,0.0008317,0.0008317
19,130.243,0.71293,0.60679,0.906,0.97825,0.99074,0.99248,0.8506,0.59716,0.44805,0.8401,0.0008218,0.0008218,0.0008218
20,136.271,0.70851,0.58565,0.9024,0.97649,0.97976,0.98948,0.85575,0.54282,0.45112,0.82355,0.0008119,0.0008119,0.0008119
21,142.397,0.67423,0.55775,0.89497,0.94397,0.96379,0.98516,0.86444,0.56625,0.4374,0.82974,0.000802,0.000802,0.000802
22,148.469,0.65486,0.54813,0.8974,0.96166,0.96264,0.98891,0.86255,0.56552,0.41935,0.82833,0.0007921,0.0007921,0.0007921
23,154.565,0.70101,0.54647,0.91093,0.95186,0.99543,0.99133,0.87017,0.55812,0.42548,0.82824,0.0007822,0.0007822,0.0007822
24,160.559,0.67972,0.54012,0.89637,0.96813,0.99149,0.99304,0.8811,0.54894,0.40074,0.82707,0.0007723,0.0007723,0.0007723
25,166.58,0.66957,0.5135,0.88655,0.9669,0.99296,0.99042,0.81779,0.68887,0.44853,0.8566,0.0007624,0.0007624,0.0007624
26,172.536,0.66342,0.50807,0.89733,0.96406,0.9822,0.9922,0.87865,0.51073,0.38799,0.82024,0.0007525,0.0007525,0.0007525
27,178.671,0.66461,0.50781,0.89609,0.97305,0.98794,0.99083,0.85626,0.52095,0.37878,0.81558,0.0007426,0.0007426,0.0007426
28,184.7,0.68426,0.51104,0.89762,0.95063,0.984,0.98794,0.8,0.72358,0.4848,0.86859,0.0007327,0.0007327,0.0007327
29,190.704,0.63862,0.48995,0.88897,0.9616,0.99083,0.99269,0.86422,0.57113,0.38814,0.83398,0.0007228,0.0007228,0.0007228
30,196.681,0.63637,0.49064,0.8886,0.96826,0.98655,0.995,0.86181,0.54335,0.37229,0.82591,0.0007129,0.0007129,0.0007129
31,202.578,0.64738,0.48246,0.88716,0.97181,0.98274,0.98897,0.86214,0.50753,0.38642,0.81293,0.000703,0.000703,0.000703
32,208.56,0.63001,0.47575,0.8898,0.9459,0.98667,0.98341,0.82356,0.63009,0.43809,0.84799,0.0006931,0.0006931,0.0006931
33,214.635,0.61483,0.45791,0.87886,0.96863,0.97586,0.989,0.86835,0.51826,0.38746,0.81688,0.0006832,0.0006832,0.0006832
34,220.574,0.62157,0.45511,0.88221,0.97332,0.99145,0.99133,0.87336,0.53907,0.3762,0.81889,0.0006733,0.0006733,0.0006733
35,226.492,0.6062,0.45482,0.87201,0.98227,0.99074,0.98875,0.85214,0.55811,0.38109,0.82499,0.0006634,0.0006634,0.0006634
36,232.409,0.61845,0.46199,0.87642,0.9528,0.99665,0.98859,0.86489,0.51937,0.37951,0.8171,0.0006535,0.0006535,0.0006535
37,238.44,0.60559,0.44599,0.87957,0.97756,0.98022,0.99404,0.86929,0.53691,0.36566,0.82156,0.0006436,0.0006436,0.0006436
38,244.366,0.62599,0.44851,0.88097,0.96597,0.98224,0.99134,0.87273,0.55407,0.36922,0.82549,0.0006337,0.0006337,0.0006337
39,250.285,0.61011,0.44366,0.87484,0.94824,0.99019,0.98771,0.80648,0.68757,0.42135,0.85502,0.0006238,0.0006238,0.0006238
40,256.26,0.64229,0.4481,0.89256,0.97003,0.9879,0.99195,0.86185,0.51857,0.35757,0.81657,0.0006139,0.0006139,0.0006139
41,262.228,0.56487,0.41956,0.86953,0.96769,0.98504,0.99348,0.8703,0.53562,0.34414,0.81725,0.000604,0.000604,0.000604
42,268.259,0.58258,0.42018,0.87134,0.96138,0.99789,0.99215,0.86129,0.55746,0.36519,0.82532,0.0005941,0.0005941,0.0005941
43,274.185,0.56854,0.40308,0.86347,0.95044,0.9828,0.98859,0.87365,0.53525,0.36242,0.8192,0.0005842,0.0005842,0.0005842
44,280.151,0.57931,0.40803,0.87389,0.96832,0.99473,0.99348,0.88996,0.49679,0.32604,0.81599,0.0005743,0.0005743,0.0005743
45,286.182,0.57012,0.39368,0.85908,0.95266,0.99502,0.99306,0.86092,0.56556,0.35215,0.82527,0.0005644,0.0005644,0.0005644
46,292.154,0.56054,0.39348,0.86351,0.96793,0.99074,0.99043,0.85642,0.56803,0.34717,0.82418,0.0005545,0.0005545,0.0005545
47,298.199,0.56766,0.39999,0.87045,0.96543,0.99163,0.99118,0.8936,0.49193,0.33245,0.80585,0.0005446,0.0005446,0.0005446
48,304.149,0.56113,0.38863,0.8647,0.96488,0.98229,0.98799,0.86488,0.53454,0.35589,0.82137,0.0005347,0.0005347,0.0005347
49,310.163,0.55189,0.38957,0.85785,0.95335,0.99025,0.99214,0.87075,0.55688,0.33571,0.82224,0.0005248,0.0005248,0.0005248
50,316.134,0.5493,0.38541,0.8607,0.97192,0.99074,0.98718,0.85167,0.5606,0.34297,0.82557,0.0005149,0.0005149,0.0005149
51,322.203,0.55757,0.38931,0.86738,0.95613,0.98718,0.99382,0.89652,0.46897,0.32922,0.80307,0.000505,0.000505,0.000505
52,328.22,0.53988,0.37445,0.8586,0.97426,0.99209,0.98897,0.87,0.53222,0.32715,0.81453,0.0004951,0.0004951,0.0004951
53,334.247,0.58258,0.37884,0.86353,0.97033,0.99235,0.9888,0.88216,0.48293,0.31528,0.80519,0.0004852,0.0004852,0.0004852
54,340.174,0.53686,0.36304,0.85056,0.96693,0.99968,0.98744,0.83434,0.621,0.33607,0.83635,0.0004753,0.0004753,0.0004753
55,346.129,0.52859,0.37262,0.85583,0.97103,0.98559,0.98744,0.84075,0.60323,0.35054,0.8364,0.0004654,0.0004654,0.0004654
56,352.004,0.53891,0.36383,0.85595,0.9617,0.99584,0.99208,0.86672,0.51935,0.3258,0.81362,0.0004555,0.0004555,0.0004555
57,357.908,0.53454,0.3674,0.85679,0.97331,0.9838,0.99035,0.84419,0.61734,0.34511,0.83841,0.0004456,0.0004456,0.0004456
58,363.938,0.53412,0.361,0.8496,0.96898,0.99614,0.9931,0.86725,0.52297,0.32502,0.81532,0.0004357,0.0004357,0.0004357
59,369.945,0.52168,0.36158,0.85145,0.97405,0.99348,0.988,0.87073,0.52304,0.32251,0.81388,0.0004258,0.0004258,0.0004258
60,375.901,0.53104,0.36255,0.84996,0.97093,0.98169,0.99,0.868,0.52237,0.33776,0.81488,0.0004159,0.0004159,0.0004159
61,381.842,0.51586,0.35403,0.84776,0.95871,0.99495,0.99285,0.87391,0.5418,0.3189,0.82175,0.000406,0.000406,0.000406
